评论内容,匹配的长文本
突然电机停转 ,昨晚上拍城市夜空 前期拍摄正常 飞到三百米的时候 突然电机停转 自由落体了 导致飞机丢失。 案例号CAS-7053928-Q2K7Z8 四美请帮我提交下 我这个案例没法寄回飞机了 需要手动提交分析
起飞不到一分钟提示电机停转、,飞行视频，起飞不到一分钟提示电机停转、随后直接坠机，还好是在空旷的坝子，没砸到人万幸啊。话说这种非人为的故障，算是飞机的产品质量问题吗、电池电量都正常。飞友们有没遇到类似情况分享下啊，今天寄给了大疆官方等待结果，本来想的是过节放假出去好好飞一圈，结果坠机了。另外，我这种有备用机这个服务吗？买了随心换，后面等官方的答复再更新。
电机空中停桨,第一次：买来第2天，运动档撞墙，云台飞了。还好是京东，免费换了。 第二次：不知道怎么回事，电机空中停桨，却确认过不是人为，大疆客服不信，僵持了一段时间，妥协，维修费2300元。 第三次：室内姿态模式，漂移炸机，mini4p的云台又飞，目前维修费未知。
并且也多次提示云台电机过热,我的Mavic是10月份换新的机器，拆开包装准备激活就发现右机臂转动的里侧白粉状灰层，当时就联系微信客服，说擦调激活，不影响使用的，我也就信了，擦干净激活了，飞了几天再看又出现白粉状灰层，我再次擦干净，过几天还是有，并且也多次提示云台电机过热，过载，就再联系微信客服，让我寄回检测，检测结果说这个机臂磨檫属于正常的，也没有检测出云台过载 过热的问题，说一切正常，我就想问一下工程师，这个机臂的磨檫如果属于正常的，那么为什么我之前的air2没有出现过，御3也没有出现过这个问题，换新之前的御3pro也没有这个问题的，我的朋友们几台御3和3pro也没有出现过这样的问题，我就想知道这个到底个属于正常的？并且我申请售后还是在换新的15天以内的条件的，
维修人员说电机烧了两个,然后等到4月底，拿到P80无人机之后，唐波第一次作业，无人机就突然失去控制，撞到了电线杆子上，桨叶也被打坏。当时他赶紧送去经销商那里，维修人员说电机烧了两个，撒播器也有了问题，维修了三四天却仍然没有修好。
秒左右又提示飞控组件故障,由于在6月24日飞丢了心爱的Mavic 3，通过置换了一台新的（现在严重怀疑是翻新机！！！）7月3日飞行结束后显示过一次IMU组件故障，通过IMU校准和重启显示正常。后来一直未飞行，7月5日飞行拍摄延时摄影，拍摄时已感觉云台图传有微小晃动，以为是风的原因没在意，拍摄完毕悬停空中和朋友说话来着，然后屏控就放在了一边，预计半分钟左右听到自动返航提示，随即查看，发现提示IMU故障，5秒左右又提示飞控组件故障，在返航途中，云台图传明显晃动，但安全返航，返航后通过手机app联系大疆客服询问情况，同时拍照把提示错误发给客服，在降落后显示电调故障需重启无人机，在重启后显示一切正常可以飞行，在客服询问重启后是否正常时，启动了无人机悬停在10-20米左右，同时遥控器放在身边未动，继续和客服沟通中，然后无人机自己直直的往前飞行（未操控），（飞行数据中应该可以看到、且可以看到我是手机app在和客服沟通，并未通过屏控，而且时间点也是能对上的）因是空旷地带.通过摇杆也无法停止向前飞行，随即发生撞树。然后花了2个多小时把无人机从高高的树上弄下来，心疼啊，平时爱惜的不行，现在撞的面目全非的。而且4月底月份入手的air2也是出现过IMU组件故障，也是用了一个月不到，这台Mavic 3又是飞丢置换的，我现在严重怀疑大疆置换的是翻新机，如果不是翻新机，我一个从买第一台无人机至今也就刚满2个月的人有那么倒霉，2台机器都有同样的故障吗？大疆品质是这样的吗？真的很寒心啊！请给我一个合理的解释，一个合理的方案！不然真的不敢再用大疆！
左转发现飞控抽风,大概从46S开始，左转发现飞控抽风，偏航是转了，但是飞机继续往一个反向飞（这是N档不是M档），横滚无法调节飞机姿态，左右偏航无法调整飞行方向。倒飞撞墙后飞机反向飞行，继续无法控制（3代手柄控制），无法停车，飞回后继续无法控制，只能调节高度，对着人就过来了。这个留下心理阴影了。请大疆官方看一下哇，求解答。
安全返航和感应器刹停同时失效如同科幻片AI崛起,mini3pro (首炸而且还炸得冤枉) 安全返航和感应器刹停同时失效如同科幻片AI崛起
核心板没进水,好消息是，核心板没进水，云台没过载，除了螺旋桨污渍外，机身上没有地方变形，坏消息，无人机，一个从无人机正面看，右上电机，好像进了草籽，个人尝试把电机拆开，但是电机螺丝太紧了，弄不下来，放弃了，但是无人机电机能正常启动，也能正常飞行，但是启动电机的时候，这个无人机电机会转，开始抽动一下，后来便没有声音了，但是每次启动电机的时候都有这个现象，在线求助
不是红外报错就是视觉故障,时隔5个多月，不多不少，又又又炸鸡了。感觉这个事故率比M3D/M3TD高不少，同样是在更换机器时部署的机场2，暂时倒是没有该类事故。真的是奇葩到家了。每一次机损就是大大大的损失，从更换维修来说，更换的新机器就存在各种问题，不是红外报错就是视觉故障，而这次飞行前还专门送修保养了一次。但是还是不偏不倚，不多不少的间隔，炸鸡又来了.....降落伞依旧没开......
摔坏了一个机臂上的灯,如题，降落时候我是向下打杆降落的，没有用一键降落，下方是个台阶，但是无人机没识别到，突然失去平衡摔了下去，摔坏了一个机臂上的灯，但是还能起飞，起飞之后发现前后避障失效了，用手接近无人机很近也无法识别，这种情况给免费维修嘛，还是说因为没用一键降落会判定责任在我
机臂电机桨叶起落架全部报废,昨天试飞了一台轴距900左右使用n3飞控的四轴飞机，低空悬停一段时间后有微弱窜高表现，欲将其降落的时候突然开始不受控升高，期间油门杆几乎全部拉至最低，但并无明显降落趋势，最终无奈在15米左右高度紧急停桨炸机，机臂电机桨叶起落架全部报废，后观察黑盒数据发现高度传感器与输出控制器并无明显异常。电机拉力不一致的问题之前也一直存在，但并未造成过明显影响。飞行参数使用大疆默认推荐值，飞行前校准过指南针，imu在一个月前校准过，实在没什么思路了，向大家来求助，多谢
就右面前机臂断裂,炸了，炸了，这个飞机两年多第一次炸鸡。因侧飞不小心撞到电线造成炸鸡，还好只有20米高度左右掉下来摔包谷地里，捡起来查看损失不是很大，能正常启动没有报错，就右面前机臂断裂，打算自己动手换机臂就是不知道如何拆卸。有换过机臂的朋友没有请教一下这个怎么拆卸，机臂里面线速是带插头的吗，需要点焊吗
机臂断了2个,飞机是6月份刚买的，熟悉操作了之后，初生牛犊不怕虎，每一次飞行基本都是S档，有时为了追求速度与激情，直线加速，21米每秒，但~~~是，我最后一次目视飞行，看反了方向，直直的向着楼房撞了上去，飞机当场报废，云台相机掉了，机臂断了2个，避障烂了4个，飞机去见了夏清😅
左后机臂有点损坏,御3pro，今天晚上九点多，刚飞10米高一点，突然不受控制，末推杆，自己前行，碰到树叶，掉落地上，左后机臂有点损坏，怎么回事？
我的mini3机臂异响了,我的mini3机臂异响了，但飞起来没有什么问题，还要去修吗。
2s后机臂折叠后会有松动,各位，Air 2s后机臂折叠后会有松动，一边晃动大点，一边晃动小点，展开后没有松动，请看链接视频，你们有这种情况？这种需不需要寄修？谢谢。
机臂边缘刮蹭了一点,前几天mini se出去在乡村飞，作死飞低了点，直接变姿态模式撞墙。不过检查后发现云台外表有擦痕，机臂边缘刮蹭了一点，8个桨叶全部报废。跟换桨叶后发现飞行正常，云台也正常，这种情况还要寄售后吗？
机身底部有划伤维修的费用大概需要多少米,飞机坠机了，之后弹出这么多故障，外观前腿明显骨折，摄像头后边有裂痕，机身底部有划伤维修的费用大概需要多少米，飞机型号是 AIR2S
机身飞行器核心板损坏导致图传信号类故障”,经过检测，大疆售后给出的定损结果为“机身飞行器核心板损坏导致图传信号类故障”。郑先生花费1482元进行了维修，包括更换飞行器核心板的耗材费、维修服务费和运费。
定损结果为机身飞行器核心板损坏导致图传信号类故障,郑先生无人机第一次检修报价单，定损结果为机身飞行器核心板损坏导致图传信号类故障。后来他发现自己的无人机故障很大可能在于遥控器，因为朋友的同款遥控器能正常控制自己的无人机，不会出现故障提醒。
索性机体没有大的损伤,无人机被我迫降在了野地里，无人机瞬间变成割草机，割断了好几根杂草，并且，无人机桨叶也报废了一对，无人机也被喷的一飞机的草汁，很难弄掉，索性机体没有大的损伤，擦擦还能战。因为我找到飞机时，飞机电量已经彻底耗尽。所以我找了半个小时后才找到飞机，并且沾了满身的鬼针草，路上的人都奇怪的看着我。所以，海上飞行需谨慎，长距离拉距不建议，大风天不能飞，建议飞友们要在出门前查看实时天气，风力，还有风向。避免炸机。说实话，连炸几次机，都没有损坏，我运气也真够好，祝大家好运，永不炸机。
所以幸只损坏一个机翼,大疆飞友鼎力相助！最后视频显示撞向大楼19楼客厅，未关窗户。在楼下寻找一个多小时，还观看了录像，怕被用户捡走。寻求本县飞友帮助，无人机搜寻无人机，最后成功在16楼的雨棚先到无人机，所以幸只损坏一个机翼！再次感谢蓬溪飞友顶级帮助！
废了两片桨,mavic air 2在国内购买，也买了care。但是在日本智能飞行时撞树落下来。废了两片桨，有一条腿关节处出现裂缝。其他地方没有损坏。 请问如何寄修？是不是必须要寄到国内维修？可否寄到日本的维修中心维修？
桨叶废了4片😭,呜呜呜，买回来第二天，认为我行了，直接低空运动档，把eir3当穿越机飞，撞楼了，桨叶废了4片😭
无人机桨叶也报废了一对,无人机被我迫降在了野地里，无人机瞬间变成割草机，割断了好几根杂草，并且，无人机桨叶也报废了一对，无人机也被喷的一飞机的草汁，很难弄掉，索性机体没有大的损伤，擦擦还能战。因为我找到飞机时，飞机电量已经彻底耗尽。所以我找了半个小时后才找到飞机，并且沾了满身的鬼针草，路上的人都奇怪的看着我。所以，海上飞行需谨慎，长距离拉距不建议，大风天不能飞，建议飞友们要在出门前查看实时天气，风力，还有风向。避免炸机。说实话，连炸几次机，都没有损坏，我运气也真够好，祝大家好运，永不炸机。
8个桨叶全部报废,前几天mini se出去在乡村飞，作死飞低了点，直接变姿态模式撞墙。不过检查后发现云台外表有擦痕，机臂边缘刮蹭了一点，8个桨叶全部报废。跟换桨叶后发现飞行正常，云台也正常，这种情况还要寄售后吗？
铂金版安装老款的桨页全力飞行的噪音也不低；,值得一提的是，环球无人机在测试时发现，普通版的大疆Mavic Pro在剧烈动作时会发出较大的轰鸣声，可达75分贝；铂金版安装老款的桨页全力飞行的噪音也不低；而铂金版配新款桨在全力工作时的声音也依然比较轻柔，一直没超过70分贝。
桨叶没有明显变形,一直小心飞行，远离人群，没想到成功降落后还能炸鸡。 降落了，桨停了，不知哪里冲出了熊孩子要看飞机，然后上去就是一脚..... 好在熊孩子太小，只踩在了右前伸出的桨叶上，不然这炸的太冤，也能让家长赔到肉疼。桨叶没有明显变形，机身没有可见裂痕，继续夜航拉锯。
结果意外发现除了桨叶损坏后,飞机型号御3 ， 换新之后的第2次飞行 1.起飞环境，海拔4500+（符合御3 6000米以下飞行环境要求）的山顶，周围无任何遮挡，地面温度0℃，时间下午17点多 2.起飞后离地面约20多米时，飞机进入姿态模式，后续被风吹走，提示需要强制降落，遥控无法取消降落，打杆无响应，无法上升，无法前进。后续坠落山谷失联。 3.下山寻找后重新与遥控取得连接，飞机已倾覆，实际坠落距离离起飞点不到100米。 首先对这次遇到的 BUG 并不陌生，去年和朋友在飞御2时，也同样遇到过这种情况，也是飞上20几米的高度，眼睁睁看着飞机下降，无法做任何控制。但之后很难复现问题，再次使用也并无异常。 当天夜里，山上下了一整夜雪，本以为就算找回飞机也是尸体，结果意外发现除了桨叶损坏后，其他一切正常。回来后因为一直忙，也没送去官网检测，估计也测不出啥问题，就这样吧。
幸好只损坏了一片桨叶,第一次夜拍护城河，遇到下雨夹雪，匆忙收队，结果撞树炸机了，本来都放弃了，以为掉河里了，结果在树丛里找到了，幸好只损坏了一片桨叶
拿下来的时候一个桨叶断了,本来准备贴地飞行，结果一个没注意，撞上了避障看不见的细小树枝，然后就挂在了树上，拿下来的时候一个桨叶断了，另一个桨叶有个坑。
机械震动导致云台接口间歇接触不良,M300 rtk近期使用高频率出现H20t云台相机假死状况，具体表现情况 1飞行器开机自检过后，遥控端屏幕健康管理系统界面无法识别到已经挂载了云台相机，实际已经挂载并完成旋转自检，检查飞行器发现H20t云台僵硬，无法保持水平自稳亦无法控制。 2飞行器自检后，管理端检测到云台接口挂载了H20t相机，但不显示H20t画面(镜头盖已摘，没有H20t相机相关操作界面)，H20t云台能自稳但无法操控 故障根源 机械震动导致云台接口间歇接触不良。 导致一个问题，你不知道H20t云台相机什么时候会在在空中就罢工了。
相机镜头故障报错1C000310,相机镜头故障报错1C000310，实际实用并未发生异常。重启、利用电脑程序重新升级固件都法清除故障。请问有遇到同样问题的飞友嘛
mini4pro相机镜头故障无法对焦,mini4pro相机镜头故障无法对焦，突然之间就成这样了，太令人意外了。
相机镜头故障”,这两天每天飞一小会不超30分钟，期间没有碰触过硬物，今天一开机就显示“相机镜头故障”，请问这是什么情况啊
相机镜头故障”,新购mini 4 飞行40天左右，一直正常使用，一个星期前发现提示“相机镜头故障”，按提示重启无人机，但还是无法消除故障，像这种情况需要返修吗？还是只是软件打BUG就行了？
视觉镜头镜片有脏物遮挡、,有些飞友的飞行器在高空飞行，准备下降过程中出现下降速度奇慢，一般来说飞行界面会报错“下视故障”或“检测到下方有障碍物”，慢到0.2m/s的速度，然后你各种拉杆到底，就是下不来，然后耗尽电量，炸机了。出现这种问题，一般是视觉定位出现了问题，常见原因包括：太久没有做视觉标定，视觉镜头镜片有脏物遮挡、下方有强光照射，碰撞或下摔导致视觉镜头移位等。预防这个故障也很简单，做好日常维护就好，定期做视觉标定，定期清理检修设备就可以了。但如果在高空出现这种情况，怎么止损，尽量降低损失，紧急情况下可以按以下步骤操作。
只摔坏了一副螺旋桨 ,第一次炸鸡🍗 大疆永远滴神 只摔坏了一副螺旋桨 然后有点刮蹭 其他没点事 换了一副新的螺旋桨 重新校准了一遍 又可以正常飞行了 大疆真的是我最信任的品牌了！！！
我的螺旋桨有一定损坏就换了,我就外壳和云台外轴和电机损坏并且也不严重，就云台严重点而已。我的螺旋桨有一定损坏就换了，大疆还收我400多
螺旋桨损坏、,1. 故障现象：机身出现裂痕、螺旋桨损坏、起落架折断等。
螺旋桨断了两对,刚买的mini4pro第三天就炸了 想问下修理价格大概是多少哇。云台支架和连接线断了 前臂摇晃 机身开裂 螺旋桨断了两对
所以断了小半个螺旋桨,飞的时候太着急了，直接撞楼上去了，大概是30米的高度，然后掉下来，因为有树挡住了，所以断了小半个螺旋桨，也是因为掉下在水泥地上，如果不是水泥地，这小半个螺旋桨应该不好断，不过也用了这么久了，我那时候是80左右买的，一个螺旋桨就十块钱啊 因为情况特殊，掉下来看了一下没有什么问题我还是使用这个断了的螺旋桨起飞了，无人机没有其他问题，不过我下来的时候这个螺旋桨把以前的声音要大很多
这小半个螺旋桨应该不好断,飞的时候太着急了，直接撞楼上去了，大概是30米的高度，然后掉下来，因为有树挡住了，所以断了小半个螺旋桨，也是因为掉下在水泥地上，如果不是水泥地，这小半个螺旋桨应该不好断，不过也用了这么久了，我那时候是80左右买的，一个螺旋桨就十块钱啊 因为情况特殊，掉下来看了一下没有什么问题我还是使用这个断了的螺旋桨起飞了，无人机没有其他问题，不过我下来的时候这个螺旋桨把以前的声音要大很多
掉下来看了一下没有什么问题我还是使用这个断了的螺旋桨起飞了,飞的时候太着急了，直接撞楼上去了，大概是30米的高度，然后掉下来，因为有树挡住了，所以断了小半个螺旋桨，也是因为掉下在水泥地上，如果不是水泥地，这小半个螺旋桨应该不好断，不过也用了这么久了，我那时候是80左右买的，一个螺旋桨就十块钱啊 因为情况特殊，掉下来看了一下没有什么问题我还是使用这个断了的螺旋桨起飞了，无人机没有其他问题，不过我下来的时候这个螺旋桨把以前的声音要大很多
螺旋桨磨损情况、,2. 周期性检查项目：包括电池健康状态、螺旋桨磨损情况、电机运行状态、电路连接可靠性等。建议每次飞行前进行简单检查，每飞行一定时长后进行详细检查和维护。
能不能确认是软件bug而不是飞机质量问题,各位大佬，本人新手一枚，最近飞我的小飞机的时候发现使用手机界面上的长按一键起飞和一键返航有几率不响应，而且几率还挺高，但是使用遥控器上的按键长按返航就完全没有问题，手动起飞也没毛病，有人遇到过同样的问题吗，能不能确认是软件bug而不是飞机质量问题？感谢各位大神
将其发送至无人机并评估哪些输入可能导致软件崩溃,研究人员开发的模糊测试工具要生成DUML数据包，将其发送至无人机并评估哪些输入可能导致软件崩溃。只要能够引发崩溃，就说明编程中存在错误。Thorsten Holz解释道，“但并不是所有安全漏洞都会引发崩溃，也有一些错误会导致序列号等数据发生变化。”
用户可以快速定位到摄像头出现故障的原因,检查完飞行控制系统，系统会自动检测摄像头是否完好。通过这次自检，用户可以快速定位到摄像头出现故障的原因。在日常维护使用过程中，摄像头容易出现故障，主要原因是在拍照或录像的时候受到强烈的震动，造成摄像头的损坏。因此，在拍摄过程中需要注意摄像头的稳定性，以免出现摄像头的故障问题。
摄像头容易出现故障,检查完飞行控制系统，系统会自动检测摄像头是否完好。通过这次自检，用户可以快速定位到摄像头出现故障的原因。在日常维护使用过程中，摄像头容易出现故障，主要原因是在拍照或录像的时候受到强烈的震动，造成摄像头的损坏。因此，在拍摄过程中需要注意摄像头的稳定性，以免出现摄像头的故障问题。
以免出现摄像头的故障问题,检查完飞行控制系统，系统会自动检测摄像头是否完好。通过这次自检，用户可以快速定位到摄像头出现故障的原因。在日常维护使用过程中，摄像头容易出现故障，主要原因是在拍照或录像的时候受到强烈的震动，造成摄像头的损坏。因此，在拍摄过程中需要注意摄像头的稳定性，以免出现摄像头的故障问题。
摄像头故障可能表现为图像模糊、,1. 故障分析：摄像头故障可能表现为图像模糊、失真或无法传输图像；信号传输系统故障则可能导致遥控信号丢失或图传信号中断。
造成摄像头的损坏,检查完飞行控制系统，系统会自动检测摄像头是否完好。通过这次自检，用户可以快速定位到摄像头出现故障的原因。在日常维护使用过程中，摄像头容易出现故障，主要原因是在拍照或录像的时候受到强烈的震动，造成摄像头的损坏。因此，在拍摄过程中需要注意摄像头的稳定性，以免出现摄像头的故障问题。
AirSense通讯故障”,机器是在4月29号京东上买的，5月1号开始在平均海拔2000米+以上飞行，5月7号左右在4860米以上的地方飞了大概40分钟，三块电池，在最后一块电池做环绕飞行的时候，突然出现了“AirSense通讯故障”的提示。周边有1台御2的机器也在飞。
无人机信号故障和丢失主要是受到干扰或者通讯部件出问题,据悉，无人机信号故障和丢失主要是受到干扰或者通讯部件出问题。无人机一般都有飞行日志，记录飞行状态。我们可以由此判断出了什么状况，有时能自行判断，有时则需要返厂才能调出飞行数据。
无人机信号故障和丢失主要是受到干扰或者通讯部件出了问题,无人机信号故障和飞丢，究竟是哪些因素引起？飞行事故中的责任应如何认定？专业从事无人机培训的北京小飞手教育科技有限公司总经理朱妮表示，无人机信号故障和丢失主要是受到干扰或者通讯部件出了问题。无人机一般都会有飞行日志，记录飞行状态，由此基本可以判断是哪种状况，有的能自行判断，有的需要返厂才能调出飞行数据。
但是在远距离飞行的时候还是要防备通讯联络被干扰或者遮蔽,无人机所使用的电台安全性还是很有保障的，其使用的是跳频电台。机载的电台与地面电台同时不停的改变频道，一对一，不担心被破译，也不担心失锁。但是在远距离飞行的时候还是要防备通讯联络被干扰或者遮蔽。
间歇性图传中断,无人机可以正常起飞降落，遥控操作没问题，间歇性图传中断，诊断结果要整个板子更换？图传问题不是换模块么？
信号传输系统故障则可能导致遥控信号丢失或图传信号中断,1. 故障分析：摄像头故障可能表现为图像模糊、失真或无法传输图像；信号传输系统故障则可能导致遥控信号丢失或图传信号中断。
之后图传丢失（,Mini3Pro 最新固件乡下随拍，手动返航拉至剩余 280m 左右后，拍照瞬间图传卡顿，之后图传丢失（单丢）。 发现摇杆仍可控制飞机返航，故在姿态球+指南针的协助下手动盲飞返航。 再之后遥控信号也丢失（双丢），彻底无法控制飞机。 此时剩余约 20% 电力，水平距离 90m，垂直高度 +75m，设置返航高度+120m 担心遥控器固件存在问题，立即重启遥控器，依旧无法连接飞机。 约半分钟后飞机成功降落至出发点，但整个过程中均无法连接遥控（见拍摄视频）。 降落后重启飞机，遥控器恢复了连接。
丢失了图传（,今年2月，消费者张先生在空旷区域试飞大疆无人机Mini 3并进行录制。“无人机飞到100米左右的高度时，丢失了图传（黑屏）和信号，按照之前经验等信号恢复就行，但从后期视频来看无人机已经完全失控”，据他讲述，无人机坠落到距离起飞点3公里以外的地方，并砸裂了一辆汽车的全景天窗。
图传老是卡顿,御3用了4g的增强图传后，近距离rc遥控信号满格时，图传老是卡顿，关掉增强图传后立刻就不会卡顿，有没有遇到过呀😭还有就是飞机关机后，偶尔手机屏幕会显示imu硬件故障或者云台报错，但是起飞和飞行过程中没有出现，不知道什么情况
图传直接断连,事发地环境如图，在沿岸停的轿车顶部起飞，轿车高1.5米。加上路面到湖面的距离，起飞点到湖面的总高度估计能达到6米，也就是说H值到-6m时才能真正触到湖面。然而我炸机时的高度仅为-0.9m，之后就完全失去了连接，-0.9m和-6m差值太大。另外，就算是触到湖面，那最后也应该有水花和离湖面真正很近的镜头，但是视频里根本没有，图传直接断连。当时飞机距离我只有100多米，且图传信号是满格，不存在信号不好导致的大延迟。所以我的观点是当时飞机突然断连后才掉进水里，然而大疆客服就是认定是我人为打杆失误，几次解释都是这样，说实话很不服。
修回来又断图传,刘先生说，这台无人机买回来没几天相机就出问题（有摩尔纹导致照片拍摄不清晰），寄回厂家（深圳市大疆创新科技有限公司，以下简称大疆科技）维修，修回来又断图传，又寄回去维修，还是没有修好。
出现图传模糊,五一前茶山出行，午后，晴，茶山地形为丘陵缓坡，起飞点接近坡顶，起飞后往坡下湖边飞行，距离起飞点 300米不到，出现图传模糊，触发自动返航，在返航的过程中降低高度后再次图传模糊、遥控手柄受干扰，飞机炸机。马上调出Dji Fly飞机定位，却发现：定位点及影像均非飞机最后落点，而是起飞点。茶山上植被茂密还有森林，没有准确的定位点，根本没法寻找，无奈只能返回。
在返航的过程中降低高度后再次图传模糊、,五一前茶山出行，午后，晴，茶山地形为丘陵缓坡，起飞点接近坡顶，起飞后往坡下湖边飞行，距离起飞点 300米不到，出现图传模糊，触发自动返航，在返航的过程中降低高度后再次图传模糊、遥控手柄受干扰，飞机炸机。马上调出Dji Fly飞机定位，却发现：定位点及影像均非飞机最后落点，而是起飞点。茶山上植被茂密还有森林，没有准确的定位点，根本没法寻找，无奈只能返回。
遥控器图传模块损坏导致图传信号弱”,于是，他将问题再次反馈给大疆售后，大疆售后在第二次检修时给出的定损结果为“遥控器图传模块损坏导致图传信号弱”，给他免费更换了图传模块和一台新的无人机。这次检修也将无人机的遥控连接问题修理好。
定损结果为遥控器图传模块损坏导致图传信号弱,郑先生无人机第二次售后维修报价单，定损结果为遥控器图传模块损坏导致图传信号弱。大疆同时更换了一台新的无人机，郑先生表示自己的无人机很新，状态也很好，但大疆的换机行为并没有征得他的同意。
损坏导致图传信号类故障”,经过检测，大疆售后给出的定损结果为“机身飞行器核心板损坏导致图传信号类故障”。郑先生花费1482元进行了维修，包括更换飞行器核心板的耗材费、维修服务费和运费。
损坏导致图传信号类故障”,与陈先生类似，李先生的无人机此前也维修过两次。其中第二次2021年7月因经常失联送修，维修记录显示“核心板组件（FCC）损坏导致图传信号类故障”，维修完成后开机提示云台卡住。“我自己把它掰一下就好了，因为平时忙很少飞，所以没有反馈给大疆。”李先生怀疑机器并未完全修好。
镜头外壳也撞裂了,11月19号下午拍摄信号塔，最后一个拍摄是15.30.到达下一个拍摄位置后，开机连接，起飞，点击飞行按钮，飞机瞬间贴地面飞出去了，没有正常的先向上起飞一米五后悬停，而是贴地面平飞的。时间只有两三秒。一下子就撞到路边护栏了。四个桨叶坏了三个，镜头外壳也撞裂了，一个支架撞破了。我感觉好像是有一个桨叶没有打开似的。所以才没有往上飞，速度太快了，根本来不及反应，时间大概16点左右。心里别提多沮丧。拿机子回家，到家后换了一套桨叶，看了下镜头没有破，只是外壳有裂痕。再起飞试了下，还能正常起飞，还能正常拍摄。因为还有任务没有完成，就继续拍摄两天，直到25号，才寄给大疆公司，也给他们说了事故时间，他们检测了两天，回复我说没有查到事故记录。没有查到事故记录，那我的机子是怎么坏的？所以我的机子还要自己掏钱修。没办法，只好转账。1360元1、机架机臂组件（右前）破损，云台相机前后壳组件、机架机身下盖组件开裂/裂纹，云台相机镜头组件（长焦）损坏导致拍照、录像及音频类故障，需付费处理。2、电池BLW（2600mAh）*2损坏导致充放电类故障，在保修范围内，提供免费处理。
外壳有点磨损,不小心炸机了，能开机，外壳有点磨损，其他问题没看出来，下一步应该干啥😭😭
就外壳变形了 ,我的御3pro不小心被车压到了 损伤不重，就外壳变形了 云台 视觉什么都正常 可经过大疆修好回来后居然 全报错了，云台 视觉 什么电调都坏了（电调已经付费维修） 返厂案例号： CAS-18354811-N1M5N1 大家可以查下，看下大疆的检测图片 
相机又出新故障了,大疆御3大师版换新后，故障不断，问题反复，寄回维修后，现在除了原来换新后的故障，相机又出新故障了。麻烦客服技术人员用心哟，认真的态度，避免换新换成烫手山芋问题机，保障用户的合法权益，我们花钱该也要有个安心，安全撒。
然后APP提示相机故障视觉系统故障,买的迷你放假回家后因为疫情接近一个月没飞，今天开机后发现云台相机极为快速的上下摆动？然后APP提示相机故障视觉系统故障，问客服说是软件没更新，但是查了一下发现都是新的。。。
因为相机镜头起雾,因为相机镜头起雾，线上寄修更换了云台相机组件（大疆寄修服务是真好），寄修后画面一直抖动。二次寄修之后又更换了云台Y轴臂、Y、P、R轴电机组件。二次寄修之后我又校准了指南针、IMU、云台相机，现在还是明显感觉云台相机增稳性能不如维修前，关闭电源后云台相机也不如维修前灵活。各位飞友，大家有寄修之后，性能感觉没有回到100%状态的情况吗？
都存在信号弱或者无法链接的问题,无人机和遥控器单个都正常，软件也能正常链接遥控器，就是无人机和遥控器之间的通讯信号会经常变弱或者直接无信号了，提示调整天线，但是怎么调整天线，都存在这个信号通讯链接的问题。    已经在室内和室外空旷的地方都进行调试，也更换了不同的手机和ipad，用不同数据线进行测试，固件也都升级过，软件使用DJI GO 4 和 Litchi进行测试，都存在信号弱或者无法链接的问题。目前都不敢飞行，怕飞起来可能就跟无人机断开了。
GPS信号弱,昨天，也就是8月22日傍晚，在一次正常的飞行拍摄中，起飞仅仅过了6分多钟，电池电量、信号、飞行距离、飞行高度等都完全正常的情况下，手机屏幕上突然提示”电子调速器异常“！ 几秒钟后，飞行距离从500来米突然就变成了0米，飞行高度从408米下降到376米！ 过了几秒钟，又提示”IMU需要校准“、”GPS信号弱，已自动进入姿态模式，飞机将不会悬停，请谨慎飞行“。高度下降到360米。 此后几秒钟，一直显示”IMU需要校准“，飞行距离一直显示0米，飞行高度迅速下降到200来米。直到停止在52米的地方，飞行记录也结束在此。 其实，这是后来仔细查看飞行记录时看到的情况。而在当时，当手机屏幕上突然提示”电子调速器异常“的时候，操控的手机实际上已经提示“连不上飞机”了，也就是说遥控器已经无法操控飞机了。
GPS信号弱,昨天拿朋友的一台精灵4P 2.0玩，好几分钟搜星，一直不稳定。起飞时几颗星没注意看。飞到约100米高，直接转姿态模式，自己漂移了，第一次遇到这样的情况，吓到我了，瞬间飞了约几百米，目视已经看不清楚了，手忙脚乱，飞机感觉不太受控。还好立刻看姿态球，尝试几次拉高，转向。还好最后飞回来了。要是砸到人就麻烦了。今天飞机一直提示GPS信号弱，无法起飞。明明还放在桌子上，没动。老是不停提示：无人机已超目视距离，请小心飞。
GPS信号弱,根据大疆提供的数据分析报告（受理编号CAS-8229311-J2C3W2），陈先生的无人机飞行中出现环境GPS信号弱、遥控器信号受到建筑物遮挡的情况，在距离返航点239米时处于失控返航状态，由于飞行路径上出现建筑物遮挡且返航点与起飞点非同一位置，飞行器将在失控返航过程中与建筑物发生擦碰。
GPS信号弱,近日，一女子出游时就带上了无人机，但在使用时，她的大疆无人机突然失控，导致其手被割伤，右手拇指掌关节背侧皮开肉绽，该女子联系大疆无人机，提出医药费、精神损失费等赔偿，以及修理无人机等诉求，但大疆公司表示，无人机失控为GPS信号弱，以及机主操作不当所致，大疆不予赔偿医药费
GPS信号弱,事后，君女士联系大疆无人机，提出医药费、精神损失费等赔偿以及修理无人机等诉求，但被告知，无人机失控为GPS信号弱以及机主操作不当所致，大疆不予赔偿医药费。
